date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:19	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2011:21:19%20GMT	https://hung1001.github.io/lastest/material-icons/MaterialIcons-Regular.eot	C:/My%20Web%20Sites/phuongtanitblogspot/hung1001.github.io/lastest/material-icons/MaterialIcons-Regular.e.delayed	(from https://phuongtanit.blogspot.com/)
18:21:21	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d488742-247b%22	https://tools.hung1001.com/lastest/material-icons/MaterialIcons-Regular.eot	C:/My%20Web%20Sites/phuongtanitblogspot/tools.hung1001.com/lastest/material-icons/MaterialIcons-Regular.f.delayed	(from https://phuongtanit.blogspot.com/)
18:21:21	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2011:21:21%20GMT	https://hung1001.github.io/lastest/material-icons/MaterialIcons-Regular.woff2	C:/My%20Web%20Sites/phuongtanitblogspot/hung1001.github.io/lastest/material-icons/MaterialIcons-Regular.woff2	(from https://phuongtanit.blogspot.com/)
18:21:21	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d488742-247b%22	https://tools.hung1001.com/lastest/material-icons/MaterialIcons-Regular.woff2	C:/My%20Web%20Sites/phuongtanitblogspot/tools.hung1001.com/lastest/material-icons/MaterialIcons-Regular.woff2	(from https://phuongtanit.blogspot.com/)
18:21:22	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2011:21:22%20GMT	https://hung1001.github.io/lastest/material-icons/MaterialIcons-Regular.woff	C:/My%20Web%20Sites/phuongtanitblogspot/hung1001.github.io/lastest/material-icons/MaterialIcons-Regular.woff	(from https://phuongtanit.blogspot.com/)
18:21:22	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d4889fb-247b%22	https://tools.hung1001.com/lastest/material-icons/MaterialIcons-Regular.woff	C:/My%20Web%20Sites/phuongtanitblogspot/tools.hung1001.com/lastest/material-icons/MaterialIcons-Regular.woff	(from https://phuongtanit.blogspot.com/)
18:21:22	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2011:21:22%20GMT	https://hung1001.github.io/lastest/material-icons/MaterialIcons-Regular.ttf	C:/My%20Web%20Sites/phuongtanitblogspot/hung1001.github.io/lastest/material-icons/MaterialIcons-Regular.ttf	(from https://phuongtanit.blogspot.com/)
18:21:22	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225d4889fb-247b%22	https://tools.hung1001.com/lastest/material-icons/MaterialIcons-Regular.ttf	C:/My%20Web%20Sites/phuongtanitblogspot/tools.hung1001.com/lastest/material-icons/MaterialIcons-Regular.ttf	(from https://phuongtanit.blogspot.com/)
18:21:23	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/phuongtanitblogspot/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://phuongtanit.blogspot.com/)
18:21:23	96381/96381	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/My%20Web%20Sites/phuongtanitblogspot/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://phuongtanit.blogspot.com/)
